Order Date,Region,Category,Sales,Profit
1/1/2023,East,Furniture,120.50,35.15
1/2/2023,East,Office Supplies,45.20,11.30
1/3/2023,Central,Technology,899.99,225.00
1/4/2023,West,Furniture,322.00,80.50
1/5/2023,Central,Office Supplies,56.75,14.19
1/6/2023,East,Technology,650.50,162.63
1/7/2023,West,Office Supplies,78.30,19.58
1/8/2023,Central,Furniture,210.25,52.56
1/9/2023,East,Technology,720.00,180.00
1/10/2023,West,Furniture,430.75,107.69
2/1/2023,East,Office Supplies,62.40,15.60
2/2/2023,Central,Technology,950.00,237.50
2/3/2023,West,Furniture,380.25,95.06
2/4/2023,East,Office Supplies,88.90,22.23
2/5/2023,Central,Furniture,275.00,68.75
2/6/2023,West,Technology,820.50,205.13
2/7/2023,East,Furniture,195.75,48.94
2/8/2023,Central,Office Supplies,72.30,18.08
2/9/2023,West,Office Supplies,95.45,23.86
2/10/2023,East,Technology,680.25,170.06
3/1/2023,Central,Furniture,310.50,77.63
3/2/2023,West,Office Supplies,110.20,27.55
3/3/2023,East,Technology,750.00,187.50
3/4/2023,Central,Office Supplies,65.75,16.44
3/5/2023,West,Furniture,420.00,105.00
3/6/2023,East,Furniture,180.30,45.08
3/7/2023,Central,Technology,880.75,220.19
3/8/2023,West,Office Supplies,102.50,25.63
3/9/2023,East,Office Supplies,78.90,19.73
3/10/2023,Central,Furniture,290.25,72.56
4/1/2023,West,Technology,920.50,230.13
4/2/2023,East,Furniture,225.75,56.44
4/3/2023,Central,Office Supplies,82.40,20.60
4/4/2023,West,Furniture,380.00,95.00
4/5/2023,East,Technology,700.25,175.06
4/6/2023,Central,Furniture,265.50,66.38
4/7/2023,West,Office Supplies,115.75,28.94
4/8/2023,East,Office Supplies,92.30,23.08
4/9/2023,Central,Technology,990.00,247.50
4/10/2023,West,Furniture,410.25,102.56
5/1/2023,East,Office Supplies,105.20,26.30
5/2/2023,Central,Furniture,335.50,83.88
5/3/2023,West,Technology,850.75,212.69
5/4/2023,East,Furniture,240.00,60.00
5/5/2023,Central,Office Supplies,88.90,22.23
5/6/2023,West,Office Supplies,125.30,31.33
5/7/2023,East,Technology,780.50,195.13
5/8/2023,Central,Furniture,300.25,75.06
5/9/2023,West,Furniture,440.00,110.00
5/10/2023,East,Office Supplies,112.75,28.19
6/1/2023,Central,Technology,1020.50,255.13
6/2/2023,West,Furniture,395.25,98.81
6/3/2023,East,Office Supplies,98.40,24.60
6/4/2023,Central,Furniture,280.50,70.13
6/5/2023,West,Technology,890.00,222.50
6/6/2023,East,Furniture,260.75,65.19
6/7/2023,Central,Office Supplies,95.75,23.94
6/8/2023,West,Office Supplies,135.20,33.80
6/9/2023,East,Technology,820.25,205.06
6/10/2023,Central,Furniture,315.00,78.75
7/1/2023,West,Furniture,460.50,115.13
7/2/2023,East,Office Supplies,122.90,30.73
7/3/2023,Central,Technology,1100.00,275.00
7/4/2023,West,Office Supplies,142.75,35.69
7/5/2023,East,Furniture,295.25,73.81
7/6/2023,Central,Furniture,330.50,82.63
7/7/2023,West,Technology,950.75,237.69
7/8/2023,East,Office Supplies,108.40,27.10
7/9/2023,Central,Office Supplies,102.50,25.63
7/10/2023,West,Furniture,480.00,120.00
8/1/2023,East,Technology,900.50,225.13
8/2/2023,Central,Furniture,350.25,87.56
8/3/2023,West,Office Supplies,150.30,37.58
8/4/2023,East,Furniture,310.00,77.50
8/5/2023,Central,Technology,1150.00,287.50
8/6/2023,West,Furniture,495.25,123.81
8/7/2023,East,Office Supplies,132.75,33.19
8/8/2023,Central,Furniture,360.50,90.13
8/9/2023,West,Technology,980.00,245.00
8/10/2023,East,Office Supplies,118.90,29.73
9/1/2023,Central,Furniture,375.75,93.94
9/2/2023,West,Office Supplies,160.20,40.05
9/3/2023,East,Technology,950.25,237.56
9/4/2023,Central,Office Supplies,112.40,28.10
9/5/2023,West,Furniture,510.50,127.63
9/6/2023,East,Furniture,340.00,85.00
9/7/2023,Central,Technology,1200.00,300.00
9/8/2023,West,Office Supplies,170.75,42.69
9/9/2023,East,Office Supplies,142.30,35.58
9/10/2023,Central,Furniture,390.25,97.56
10/1/2023,West,Technology,1020.50,255.13
10/2/2023,East,Furniture,365.50,91.38
10/3/2023,Central,Office Supplies,125.75,31.44
10/4/2023,West,Furniture,525.00,131.25
10/5/2023,East,Technology,1000.25,250.06
10/6/2023,Central,Furniture,400.50,100.13
10/7/2023,West,Office Supplies,180.30,45.08
10/8/2023,East,Office Supplies,152.90,38.23
10/9/2023,Central,Technology,1250.00,312.50
10/10/2023,West,Furniture,540.25,135.06
11/1/2023,East,Office Supplies,165.20,41.30
11/2/2023,Central,Furniture,420.75,105.19
11/3/2023,West,Technology,1100.50,275.13
11/4/2023,East,Furniture,390.00,97.50
11/5/2023,Central,Office Supplies,135.90,33.98
11/6/2023,West,Office Supplies,195.75,48.94
11/7/2023,East,Technology,1050.25,262.56
11/8/2023,Central,Furniture,435.50,108.88
11/9/2023,West,Furniture,560.00,140.00
11/10/2023,East,Office Supplies,172.30,43.08
12/1/2023,Central,Technology,1300.00,325.00
12/2/2023,West,Furniture,575.25,143.81
12/3/2023,East,Office Supplies,185.40,46.35
12/4/2023,Central,Furniture,450.75,112.69
12/5/2023,West,Technology,1150.50,287.63
12/6/2023,East,Furniture,420.00,105.00
12/7/2023,Central,Office Supplies,150.25,37.56
12/8/2023,West,Office Supplies,210.30,52.58
12/9/2023,East,Technology,1100.25,275.06
12/10/2023,Central,Furniture,465.50,116.38
